english_source|lambani_target|lambani_predicted|kannada_sentence
ram wanted to die|ರಾಮ ಮರು ಕೆರೋಚ|ರಾಮ ಮರಗಿ ಜಕೋಣ ಚಾವರೊತೊ|ರಾಮ್ ಸಾಯಲು ಬಯಸಿದ
it might not work|ಈ ಕಾಮ ಕರ ಸಕೆನಿ.|ಈ ಕಾಮ ಕರೆನಿ.|ಇದು ಕೆಲಸ ಮಾಡದಿರಬಹುದು
we know this song|ಈ ಗೀದ ಹಮೇನ ಮಾಲಮ್ ಚ|ಈ ಗೀದ ಹಮೇನ ಮಾಲಮ್ ಚ|ಈ ಹಾಡು ನಮಗೆ ತಿಳಿದಿದೆ
they wanted the proof|ವೂನುನ ಸಬೂತ್ ಚಾವಚ.|ವೊ ನಿಶ್ಚಿತ್ ಚಾವಚ|ಅವರಿಗೆ ಪುರಾವೆ ಬೇಕಿತ್ತು
i saw the bus|ಮ ಬಸ್ ದಿಟೊಚು.|ಮ ಬಸ್ ದಿಟೊ.|ನಾನು ಬಸ್ ನೋಡಿದೆ
feed the dog|ಕುತ್ರಾನ ಬಾಟಿ ಘಾಲೊ.|ಕುತ್ರಾ ನ ಬಾಟಿ ಘಾಲೊ.|ನಾಯಿಗೆ ಆಹಾರ ನೀಡಿ
would you please come here ?|ಕೃಪಯಾ ಅತ ಆವೊಚೊ?|ಕೃಪಿಯಾ ಅತ ಆಜೊ?|ದಯವಿಟ್ಟು ಇಲ್ಲಿಗೆ ಬರುತ್ತೀರಾ ?
what did they ask for ?|ವೊ ಕಾಂಯಿ ಕೆರೇಚ?|ವೊ ಕಾಂಯಿ ಪೂಚೆ|ಅವರು ಏನು ಕೇಳಿದರು ?
i am feeling very hot .|ಮನ್ ಘಣ್ ಧಗಿ ಲಾಗರಿಚ.|ಮನ್ ಘಣ್ ಗರಮಿ ಚ.|ನನಗೆ ತುಂಬಾ ಕಾವಾಗುತ್ತಿದೆ .
i will walk after you .|ಮ ತಾರ್ ಲಾರ್ ಚಾಲುಚು.|ಮ ತಾರ್ ಲಾರ್ ಆವುಂಚು.|ನಾನು ನಿನ್ನ ಹಿಂದೆ ನಡೆಯುತ್ತೇನೆ  .
which is the best way ?|ಸೆತ್ತಿ ಆಚ ವಾಟ್ ಕುಣಸ್ ಚ?|ಕುಣಸ್ ತರಿಕಾ ಚ?|ಯಾವುದು ಉತ್ತಮ ಮಾರ್ಗ ?
do not move too fast .|ಘಣ್ ಜೋರ್ತಿ ಮತ್ ಜೋ.|ಘಣ್ ಜೋರ ಜಾಮತ.|ತುಂಬಾ ವೇಗವಾಗಿ ಚಲಿಸಬೇಡಿ .
time is very precious .|ಸಮಯ ಘಣ ಕೀಮತಿ ಚ|ಸಮಯ ಘಣ ಕೀಮತಿ ಚ|ಸಮಯ ಬಹಳ ಅಮೂಲ್ಯ  .
the house has been sold .|ಘರೇನ್ ವೇಚನಾಕೇಚ|ಘರ್ ಘರ್ ವೆಚ್|ಮನೆ ಮಾರಾಟ ಮಾಡಲಾಗಿದೆ .
let us meet in front .|ಮುಂಡಾಗ್ ಭಳಾ ಆವೋ.|ಅಪಣ ಮುಂಡಾಗ ಭಳೆ|ಮುಂದೆ ಭೇಟಿಯಾಗೋಣ .
all the animals ran away .|ಸೇಜ ಜಾನ್ವರ ಧಾಸಗೆ|ಸೇಜ ಜಾನ್ವರೆನುನ ಧಾಸಗೆ|ಎಲ್ಲಾ ಪ್ರಾಣಿಗಳು ಓಡಿಹೋದವು .
it is never too late .|ಅಬ್ ಬಿ ತಡಾ ವಿಕೊಂತಿ.|ಈ ಕನ್ನಾಯಿ ಘಣ್ ತಡಾ ಕರೆನಿ.|ಇದು ಎಂದಿಗೂ ತಡವಾಗಿಲ್ಲ .
what are you up to ?|ತಮ್ ಕಾಂಯಿ ಕರರೆಚೊ?|ತು ಕತ್ರಾನ್ ವುಟೆಚಿ?|ನೀವು ಏನು ಮಾಡುತ್ತಿರುವಿರಿ ?
do not forget about us !|ಹಮಾರ್ ಬಗ್ಗೆ ಭುಲಮತ್.|ಅಪಣ ಬಗ್ಗೆ ಭೂಲೋ ಮತ್.|ನಮ್ಮ ಬಗ್ಗೆ ಮರೆಯಬೇಡಿ !
your room is neat .|ತಾರ್ ಖೋಲಿ ಸಾಫ್ ಚ|ತಾರ್ ಖೊಲಿಮ್ ಫ್ಯಾನ್ ಛ.|ನಿಮ್ಮ ಕೋಣೆ ಅಚ್ಚುಕಟ್ಟಾಗಿದೆ  .
what do you want now ?|ತೋನ್ ಅಬ್ ಕಾಂಯಿ ಚಾವಚ?|ತೋನ ಅಬ್ ಕಾಂಯಿ ಚಾವಚ?|ನೀವು ಈಗ ಏನು ಬಯಸುತ್ತೀರಿ ?
he is still not well .|ವೊನ್ ಅಜಿ ಅರಾಮ್ ಛೆನಿ.|ವೊನ್ ಅಜಿ ಠೀಕ್ ಛೆನಿ.|ಅವನಿಗೆ ಇನ್ನೂ ಹುಷಾರಾಗಿಲ್ಲ
do not forget the ticket .|ಟಿಕೆಟ್ ಭೂಲೋಮತ್.|ಟಿಕೆಟ್ ಭೂಲೋ ಮತ್.|ಟಿಕೆಟ್ ಮರೆಯಬೇಡಿ .
samuu can do it|ಸಮು ವೊನ ಕರ ಸಕಚ.|ಸಮು ವೊನ ಕರ ಸಕ್ತಾವಚ|samuu ಅದನ್ನು ಮಾಡಬಹುದು
the sun will come up soon|ಸುರ್ಯಾ ಜಲ್ದಿ ಹುಟ್ಟಚ|ಸುರ್ಯಾ ಜಲ್ದಿ ಹುಟ್ಟಚ|ಸೂರ್ಯ ಶೀಘ್ರದಲ್ಲೇ ಉದಯಿಸಲಿದೆ
nobody is there right now .|ಅಬ ವತ ಕೊಯಿ ಛೆನಿ.|ಅಬ್ ಸದ್ದ್ ಕೊಯಿ ಛೆನಿ.|ಈಗ ಯಾರೂ ಇಲ್ಲ .
i am hungry .|ಮನ ಭೂಕಲಾಗರಿಚ|ಮನ್ ಭೂಕಲಾಗರಿಚ.|ನನಗೆ ಹಸಿವಾಗಿದೆ .
how long is the class ?|ಕ್ಲಾಸ್ ಕತ್ರಾ ವಾಳೆರ್ ಚ?|ಕ್ಲಾಸ್ ಕತ್ರಾನ್ ಚ?|ತರಗತಿ ಎಷ್ಟು ಹೊತ್ತು ?
time is on our side .|ಸಮಯ ಅಪಣ ಕನ ಚ|ಅಪಣ ಸಾಂವು ಸಮಯ ಪರ್ ಚ.|ಸಮಯ ನಮ್ಮ ಕಡೆ ಇದೆ  .
i will be with you .|ಮ ತಮಾರ್ ಜೋಡಿ ರುಚು.|ಮ ತಾರ್ ಜೋಡಿ ರುಚು.|ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಇರುತ್ತೇನೆ .
i am feeling hungry|ಮನ ಭುಕ ಲಾಗರಿಚ.|ಮನ ಭೂಕಲಾಗರಿಚ.|ನನಗೆ ಹಸಿವಾಗುತ್ತಿದೆ
do not cut the tree .|ಝಾಡ್ ಕಾಟ್ ಮತ್.|ಝಾಡೇವನುನ್ ಕಾಟ್ ಮತ್.|ಮರ ಕಡಿಯಬೇಡಿ .
i will meet you soon .|ಮ ತೋನ್ ಜಲ್ದಿ ಭಳುಚು.|ಮ ತಾತಿ ಜಲ್ದಿ ಭಳುಚು.|ನಾನು ಶೀಘ್ರದಲ್ಲೇ ನಿಮ್ಮನ್ನು ಭೇಟಿ ಮಾಡುತ್ತೇನೆ .
the book is behind me .|ಪುಸ್ತಕ ಮಾರ ಲಾರ ಚ|ಪುಸ್ತಕ ಮಾರ್ ಪಾಕ್ತಿಮಚ|ಪುಸ್ತಕ ನನ್ನ ಹಿಂದೆ ಇದೆ .
you may take the book .|ತು ಪುಸ್ತಕ್ ಲೇ ಸಕೇಚಿ|ತು ಪುಸ್ತಕೇನ ಲೇ ಸಕೇಚಿ|ನೀವು ಪುಸ್ತಕವನ್ನು ತೆಗೆದುಕೊಳ್ಳಬಹುದು .
i am going to bed .|ಮ ಸೊಯೆನ್ ಜಾರೊಚು.|ಮ ಸೊಯೆನ್ ಜಾರೊಚು.|ನಾನು ಮಲಗಲು ಹೋಗುತ್ತಿರುವೆ .
i can not do it .|ಮನ್ ವು ಕರೆರ್ ವೇನಿ.|ಮನ್ ವು ಕರೆರ್ ವೇನಿ.|ನಾನು ಅದನ್ನು ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ .
thank you for staying .|ರೆಗೆ ಜೇತಿ ಧನ್ಯವಾದ್.|ಧನ್ಯವಾದ್ ಜೇರ್ಸಾರು ಧನ್ಯವಾದ್.|ಉಳಿದುಕೊಂಡಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು .
he is a smart boy .|ವು ಛೋರಾ ಘಣ್ ಸಾಣೋಚ.|ವು ಏಕ್ ಸಾಣ ಛೋರಾ ಚ.|ಅವನೊಬ್ಬ ಬುದ್ಧಿವಂತ ಹುಡುಗ  .
i think you are right .|ತು ಠೀಕ್ ಚಿ ಕೆನ್ ಮನ್ ಅನಸಾರಿಚ.|ತಮ್ ಖರೆ ಛೋ ಕರನ್ ಮ ಸಮಜು ಚು.|ನೀವು ಸರಿ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ .
i learned to drive a car|ಮ ಕಾರ್ ಮಾರೆರ ಸಿಕೋ.|ಮ ಕಾರ್ ಚಲಾಯೆನ್ ಸಿಕರೋಚು.|ನಾನು ಕಾರು ಓಡಿಸಲು ಕಲಿತೆ
do you want to come ?|ತೋನ್ ಆಯೆರ್ ಚ ಕ?|ತು ಆಯೆಚಿ ಕ?|ನೀನು ಬರಲು ಇಚ್ಚಿಸುತ್ತಿಯಾ ?
he does not enjoy music .|ವೊನ್ ಸಂಗೀತ್ ಪಸಂದ್ ಛೆನಿ.|ವು ಸಂಗೀತ ಪಸಂದ್ ಛೆನಿ.|ಅವನು ಸಂಗೀತವನ್ನು ಆನಂದಿಸುವುದಿಲ್ಲ .
tamal is a farmar|ತಮಲ್ ಏಕ ರೈತ ಚ.|ತಮಲ್ ಏಕ ರೈತ ಚ.|ತಮಲ್ ಒಬ್ಬ ರೈತ
samu has seen the incident|ಸಮು ಘಟನೆ ದಿಟೋಚ.|ಸಮು ವೊ ಘಟನೆ ದಿಟೋ.|ಸಮು ಘಟನೆಯನ್ನು ನೋಡಿದೆ
can i cut the tree ?|ಮ ಝಾಡ್ ಕಾಟು ಕ?|ಮ ಝಾಡ ಕಾಟು ಕ?|ನಾನು ಮರವನ್ನು ಕತ್ತರಿಸಬಹುದೇ ?
he does not read books .|ವು ಪುಸ್ತಕ್ ವೊದೇನಿ.|ವು ಪುಸ್ತಕನೋ ವೋದುಚು.|ಅವನು ಪುಸ್ತಕಗಳನ್ನು ಓದುವುದಿಲ್ಲ .
she has been working hard .|ವು ಮೆಹನತೆತಿ ಕಾಮ ಕರರಿಚ.|ವು ಘಣ್ ಮೆಹನತೆ ತಿ ಕಾಮ್ ಕರ್ರಿಚ.|ಕಷ್ಟಪಟ್ಟು ದುಡಿಯುತ್ತಿದ್ದಾಳೆ .
i am not too hot .|ಮ ಘಣ್ ಗರಮ್ ಛೆನಿ.|ಮ ಘಣ್ ಗರಮ್ ಛೆನಿ.|ನಾನು ತುಂಬಾ ಬಿಸಿಯಾಗಿಲ್ಲ .
is it sunny outside .|ಭಾರ್ ತಾವಡೊ ಚ ಕ?|ಭಾರ್ ತಾವಡೊ ಚ.|ಹೊರಗೆ ಬಿಸಿಲು ಇದೆಯಾ .
i like your shirt|ಮನ ತಾರ ಜಿಗಲಾ ಪಸಂದ್ ಚ.|ಮನ ತಾರ ಜಿಗಲಾ ಪಸಂದ್ ಚ.|ನಿಮ್ಮ ಅಂಗಿ ನನಗೆ ಇಷ್ಟವಾಯಿತು
i stay outside the village .|ಮ ಹಳ್ಳಿತಿ ಭಾರ್ ರುಚು.|ಮ ಗಾಮೇತಿ ಭಾರ್ ರುಚು.|ನಾನು ಹಳ್ಳಿಯ ಹೊರಗೆ ಇರುತ್ತೇನೆ .
i remember your dress .|ಮನ್ ತಾರ್ ಜಿಗಲಾ ಹರ್ದೆ ಚ.|ತಾರ್ ಜಿಗಲಾ ಮನ್ ಹರ್ದೆ ರಕಾಡ್.|ನಿಮ್ಮ ಉಡುಗೆ ನನಗೆ ನೆನಪಿದೆ .
what are you two doing ?|ತಮ್ ದೋಇ ಕಾಯಿ ಕರೆಚೊ.|ತು ಕಾಂಯಿ ಕರ್ರೋಚಿ?|ನೀವಿಬ್ಬರು ಏನು ಮಾಡುತ್ತಿದ್ದೀರಿ ?
this boy has no job .|ಏ ಛೋರಾನ ಕಾಮ್ ಛೆನಿ|ಈ ಛೋರಾನ ಕಾಮ್ ಛೆನಿ|ಈ ಹುಡುಗನಿಗೆ ಕೆಲಸವಿಲ್ಲ  .
are you younger than him ?|ತು ವೊತಿ ನಾಣಕ್ಯಾ ಚಿ ಕ?|ತು ವೊತಿ ನಾಣಕ್ಯ ಚಿ ಕ?|ನೀವು ಅವನಿಗಿಂತ ಚಿಕ್ಕವರಾಗಿದ್ದೀರಾ ?
i had a test yesterday .|ಕಾಲ್ ಮಾರ್ ಏಕ್ ಪರೀಕ್ಷಾ ವೆತ್ತೋ.|ಮಾರ್ ಕಾಲ್ ಏಕ್ ಪರೀಕ್ಷಾ ವೆತ್ತೋ.|ನನಗೆ ನಿನ್ನೆ ಪರೀಕ್ಷೆ ಇತ್ತು .
the pool is empty|ಪೂಲ್ ಠಾಲೋ ಚ|ವಾವಡಿ ಠಾಲ ಚ.|ಕೊಳ ಖಾಲಿಯಾಗಿದೆ
he is collecting money .|ವು ಪೀಸಾ ಗೋಳಾ ಕರ್ರೋಚ.|ವು ಪೀಸಾ ಗೋಳಾ ಕರ್ರೋಚ.|ಹಣ ಸಂಗ್ರಹಿಸುತ್ತಿದ್ದಾನೆ  .
they ran downstairs quickly|ವೊ ಜಲ್ದಿ ಹೇಟ ಧಾಸೆ|ವೊ ಜಲ್ದಿ ಧಾಸಗೆ|ಅವರು ಬೇಗನೆ ಕೆಳಗೆ ಓಡಿಹೋದರು
i have been living here .|ಮ ಅತ ರೆರೆಚು.|ಮ ಅತ ಚು.|ನಾನು ಇಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ .
you are gaining weight .|ತು ಜಾಡೋ ವೆರೋಚಿ|ತು ವಜನ್ ಕಮ್ ವೆರೋಚ.|ನೀವು ತೂಕವನ್ನು ಹೆಚ್ಚಿಸುತ್ತಿದ್ದೀರಿ .
yesterday is a holiday|ಕಾಲ ಸೂಟಿ ವೇತ್ತಿ.|ಕಾಲ್ ಏಕ್ ರಜಾ ಚ.|ನಿನ್ನೆ ರಜೆ
where are they staying ?|ವೊ ಕತ್ ರೆಮಲೆಚ?|ವೊ ಕತ್ ರಚ?|ಅವರು ಎಲ್ಲಿ ಉಳಿದುಕೊಂಡಿದ್ದಾರೆ ?
ram is ramu 's friend|ರಾಮ ರಾಮು ರ ದೋಸ್ತ ಚ.|ರಾಮ ರಾಮು ರ ದೋಸ್ತ್ ಚ.|ರಾಮು ರಾಮುವಿನ ಗೆಳೆಯ
i am waiting for you .|ಮ ತಾರ್ ವಾಟ್ ದೇಕರೊಚು.|ತಾರ್ ಸಾರು ವಾಟ್ ದೆಕ್ರೀತಿ.|ನಾನು ನಿನಗಾಗಿ ಕಾಯುತ್ತಿದ್ದೇನೆ .
i do not eat meat|ಮ ಬೋಟಿ ಖಾವುನಿ|ಮ ಬೋಟಿ ಖಾವುನಿ.|ನಾನು ಮಾಂಸವನ್ನು ತಿನ್ನುವುದಿಲ್ಲ
that is always the case .|ವು ಕನ್ನಾಯಿಬಿ ಹನುಜ್ ಚ|ವು ಕನ್ನಾಯಿಬಿ ಹನುಜ್ ಚ|ಅದು ಯಾವಾಗಲೂ ಹಾಗೆಯೇ  .
i need to go outside .|ಮನ್ ಭಾರ್ ಜಾಯೆರ್ ಜರೂರತ್ ಚ.|ಮ ಭಾರ್ ಜಾಣು.|ನಾನು ಹೊರಗೆ ಹೋಗಬೇಕು .
our team is very good .|ಹಮಾರ್ ಗುಂಪ ಘಣ ಆಚ ಛ.|ಹಮಾರ್ ತಂಡ ಘಣ ಆಚೊ ಛ.|ನಮ್ಮ ತಂಡ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ .
get out of my sight .|ಮನ್ ದಿಕಾಮತ್.|ಮಾರ್ ಆಂಕಿತಿ ಭಾರ್ ಸರಕೋ.|ನನಗೆ ಕಾಣಬೇಡಿ / ನನ್ನ ದ್ರಷ್ಟಿಗೆ ಬೀಳಬೇಡಿ
my health is not good .|ಮನ್ ಅರಾಮ್ ಛೆನಿ.|ಮಾರ್ ಜೀವೇನ್ ಆಚೊ ಕಾವ.|ನನ್ನ ಆರೋಗ್ಯ ಸರಿಯಿಲ್ಲ .
i made a mistake .|ಮ ಗಲತಿ ಕಿದೋಚು.|ಮ ಏಕ್ ಗಲತಿ ಕಿದೋಚು.|ನಾನು ತಪ್ಪು ಮಾಡಿದೆ .
kindly please keep quiet|ಕೃಪಯಾ ಗಪ್ ಬೆಸೊ.|ಕೃಪಯಾ ಗಪ್ ಭೇಸೊ?|ದಯವಿಟ್ಟು ಸುಮ್ಮನಿರಿ
it is not sunny .|ತಾವಡೊ ಛೆನಿ.|ಈ ತಾವಡೆರ್ ಕಾವ.|ಇದು ಬಿಸಿಲು ಅಲ್ಲ .
they are not at home .|ವೊ ಘರ್ ಛೆನಿ|ವೊ ಘರ್ ಛೆನಿ|ಅವರು ಮನೆಯಲ್ಲಿಲ್ಲ .
birds can fly high .|ಪಕ್ಷಿನೋ ಉಪ್ಪರ್ ವಡ ಸಕಚ.|ಪಕ್ಷಿನೊ ಘಣ್ ವುಂಚೊ ವಡ ಸಕಚ.|ಪಕ್ಷಿಗಳು ಎತ್ತರಕ್ಕೆ ಹಾರಬಲ್ಲವು .
we won the match .|ಹಮ್ ಮ್ಯಾಚ್ ಜೀತಾಚಾ|ಹಮ್ ಮ್ಯಾಚ್ ಜೀತಗೆ.|ನಾವು ಪಂದ್ಯವನ್ನು ಗೆದ್ದಿದ್ದೇವೆ .
does she dance often ?|ವು ಕನ್ನಾ ವನಾ ನಾಚಚ್ ಕ?|ವು ಕನ್ನಾ ವನಾ ನಾಚಚ|ಅವಳು ಆಗಾಗ್ಗೆ ನೃತ್ಯ ಮಾಡುತ್ತಾಳೆಯೇ ?
she has wet hair|ವೋರ ಲಟ್ಟಾ ಭೀನ ಚ|ವೋರ ಲಟ್ಟಾಮಾಯಿ ಜುಂವೆ ಛ.|ಅವಳ ಕೂದಲು ಒದ್ದೆಯಾಗಿದೆ
we are not late .|ಹಮನುನ ತಡಾ ವಿಕೊಂತಿ|ಹಮೇನ ತಡಾ ವಿಕೊಂತಿ|ನಾವು ತಡವಾಗಿಲ್ಲ .
are you eating alone ?|ತು ಏಕ್ಲೊ ಖಾರೊಚಿ ಕ?|ತು ಏಕ್ಲೊ ಖಾರೊಚಿ?|ನೀವು ಒಬ್ಬರೇ ತಿನ್ನುತ್ತಿದ್ದೀರಾ ?
is it raining ?|ಅಬೆ ಪಾಣಿ ಪಡರೋಚ ಕಾಯಿ ?|ಪಾಣಿ ಪಡ್ರೋಚ್ ಕ?|ಈಗ ಮಳೆಯಾಗುತ್ತಿದೆಯಾ
i love my dog .|ಮ ಮಾರ್ ಕುತ್ರಾನ್ ಘಣ್ ಪ್ರೇಮ್ ಕರುಚು.|ಮನ್ ಮಾರ್ ಕುತ್ರಾ ಪಸಂದ್ ಚ.|ನಾನು ನನ್ನ ನಾಯಿಯನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ  .
do you know her ?|ತೋನ ವು ಛೋರಿ ಮಾಲಮ ಚ ಕ ?|ತೋನ್ ವು ಮಾಲಮ್ ಚ ಕ?|ನಿನಗೆ ಅವಳು ಗೊತ್ತಾ  ?
ram is feeling guilty .|ರಾಮೆನ್ ಓರ್ ತಪ್ಪ್ ಓನ್ ಮಾಲಂ ವೆರಿಚ.|ರಾಮ ತಪ್ ಕರ್ಮೋಲೋಚು ಕರನ್ ಅನ್ಸಾವಚ.|ರಾಮನಿಗೆ ಪಾಪಪ್ರಜ್ಞೆ ಕಾಡುತ್ತಿದೆ .
when shall we eat ?|ಆಪಣ್ ಕನ್ನ ಖಾಮಾ?|ಅಪಣ ಕನ್ನಾ ಖಾಮಾಚಾ?|ನಾವು ಯಾವಾಗ ತಿನ್ನೋಣ ?
sun rose and set .|ದಾಡೋ ನಿಕಳೊ ಆ ಡುಬಗೋ|ದಾಡೋ ಡುಬಗೋ|ಸೂರ್ಯ ಉದಯಿಸಿದನು ಮತ್ತು ಅಸ್ತಮಿಸಿದನು .
they let him go back|ವೊ ವೊನ ಹೋಟೊ ಜಾಯೇನ ಛೋಡದಿನೇ|ವೊ ವೊನ ಹೊಟೋ ಛೋಡನಾಕೆ|ಅವರು ಅವನನ್ನು ಹಿಂದಕ್ಕೆ ಹೋಗಲು ಬಿಟ್ಟರು
please call the doctor .|ವಿನತಿ ಕರುಚು ಡಾಕ್ಟರೇನ್ ಫೋನ್ ಲಗಾಡೋ.|ಕೃಪಯಾ ಡಾಕ್ಟರೇನ ಬಲಾವೋ.|ದಯವಿಟ್ಟು ವೈದ್ಯರನ್ನು ಕರೆ ಮಾಡಿ .
do you play cards ?|ತು ಕಾರ್ಡ್ ರಮ್ಮೆಚಿ ಕ?|ತು ಕಾರ್ ರಮ್ಮೆಚಿ?|ನೀವು ಕಾರ್ಡ್‌ಗಳನ್ನು ಆಡುತ್ತೀರಾ ?
everything has its beginning .|ಸೇನಜ್ ಶುರುವಾತ್ ರಚ.|ಸೇಜ್ ವೊರ್ ಚಾಲು ಚ.|ಪ್ರತಿಯೊಂದಕ್ಕೂ ಅದರ ಆರಂಭವಿದೆ  .
how am i travelling ?|ಮ ಕು ಯಾತ್ರಾ ಕರರೊಚು?|ಮ ಕು ಯಾತ್ರಾ ಕರರೊಚು?|ನಾನು ಹೇಗೆ ಪ್ರಯಾಣಿಸುತ್ತಿದ್ದೇನೆ ?
may i go home ?|ಮ ಘರೇನ್ ಜಾಉ ಸಕುಚು ಕಾಯಿ?|ಮ ಘರೇನ್ ಜಾ ಸಕುಚು ಕ?|ನಾನು ಮನೆಗೆ ಹೋಗಬಹುದೇ ?
keep healthy by eating well|ಆಚೊ ಖಾನ ಸ್ವಸ್ಥ ರೋ|ಠೀಕ ಬಾಟಿ ಖಾತಿ ಜೀವೆನ ಆಚೊ ರಚ|ಚೆನ್ನಾಗಿ ತಿನ್ನುವ ಮೂಲಕ ಆರೋಗ್ಯವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ
the plan did not work|ಯೋಜನೆ ಕಾಮ ಕಿದಿ ಕೋನಿ.|ಯೋಜನೆ ಕಾಮ ಕಿದೋ ಕೋನಿ.|ಯೋಜನೆ ಕಾರ್ಯರೂಪಕ್ಕೆ ಬರಲಿಲ್ಲ
ramu won the race|ರಾಮು ರೇಸ್ ಜಿತಗೊ.|ರಾಮು ಧಾಸಗಿ|ಓಟದಲ್ಲಿ ರಾಮು ಗೆದ್ದರು
where are the kids ?|ಛಿಜಾಪರ್ ಕತ್ ಛ.|ಛಿಜ್ಯಪರ್ ಕತ್ ಚ?|ಮಕ್ಕಳು ಎಲ್ಲಿದ್ದಾರೆ ?
when was she born ?|ಊ ಛೋರಿ ಹುಯೀಜನ?|ಊ ಚೋರಾ ಹುಯೇಜನಾ?|ಅವಳು ಯಾವಾಗ ಹುಟ್ಟಿದಳು ?
and go for hunting|ಅನ ಯೇಡೊ ರಮ್ಮೆನ ಜೋ|ಅನ ಯೇಡೋ ರಮ್ಮ|ಮತ್ತು ಬೇಟೆಗೆ ಹೋಗಿ
no one knows you .|ತು ಕೆನ್ನಿ ಮಾಲಮ ಛೆನಿ.|ತು ಕೋಇ ಮಾಲಮ ಛೆನಿ.|ಯಾರೂ ನಿಮ್ಮನ್ನು ತಿಳಿದಿಲ್ಲ .
the sky was completely dark|ಅಬಾಳೋ ಸಾರಿ ಮಾಡ ವೆರೋಚ್|ಅಬಾಳೋ ಪೂರ್ತಿ ಅಂದಾರೋ ವೇತ್ತೋ.|ಆಕಾಶವು ಸಂಪೂರ್ಣವಾಗಿ ಗಾಢವಾಗಿತ್ತು
you are very good .|ತಮ್ ಘನ್ ಆಚೆ ಛೋ.|ತು ಘನ್ ಆಚೊ ಛಿ.|ನೀವು ತುಂಬಾ ಒಳ್ಳೆಯವರು .
i need a plan .|ಮಾರ್ ಮಾತೆಂ ಏಕ್ ವಿಚಾರ್ ಆರೋಚ.|ಮನ್ ಏಕ್ ಯೋಜನೆ ಚಾಯ.|ನನಗೊಂದು ಯೋಜನೆ ಬೇಕು .
ramu is from odisha|ರಾಮು ಓಡಿಸಾ ರೋ ಚ.|ರಾಮು ಒಡಿಶಾ ತಿ ಚ.|ರಾಮು ಒಡಿಶಾ ಮೂಲದವರು
that is ramesh 's dog|ವು ರಮೇಶರ ಕುತರಾಚ|ವು ರಮೇಶೇರ ಕುತ್ರಾ ಚ|ಅದು ರಮೇಶನ ನಾಯಿ
enjoy your life ram .|ತಮಾರ್ ಜೀವನಾ ಮಾಯಿ ಅನಂದ್ಯೆತಿ ರೋ ರಾಮ್.|ತಾರ್ ಜೀವನನ್ ಆನಂದ್ ಲ.|ನಿಮ್ಮ ಜೀವನವನ್ನು ಆನಂದಿಸಿ ರಾಮ್ .
does he speak english ?|ಓನ್ ಇಂಗ್ಲಿಷ್ ವತೇ ಕರೆನ್ ಆವಚ ಕಾಯಿ.|ವು ಇಂಗ್ಲಿಷ್ ವಾತೆ ಕರಚ ಕ?|ಅವನು ಇಂಗ್ಲಿಷ್ ಮಾತನಾಡುತ್ತಾನೆಯೇ ?
we heard you talking .|ತಮ್ ವತೇ ಕರೋ ಜಾಕೋನ್ ಹಮ್ ಸಮ್ಬಲೆಚಾ.|ತಮ್ ವತೇ ಕರೋ ಜಕೋನ್ ಸಮ್ಬಲೆಚಾ.|ನೀವು ಮಾತನಾಡುವುದನ್ನು ನಾವು ಕೇಳಿದ್ದೇವೆ .
he is a poet .|ಉ ಏಕ್ ಕವಿತಾ ಲಕೆ ವಾಲೋಚ.|ವು ಏಕ್ ಕವಿ ಚ.|ಅವನೊಬ್ಬ ಕವಿ .
he can not sing .|ಓ ಚೊರಾನ್ ಗಿದ್ಗಯೇನ್ ಆಯೆನಿ.|ವು ಗಿದ್ಗಯೇನ್ ಆಯೆನಿ.|ಅವನಿಗೆ ಹಾಡಲು ಬರುವುದಿಲ್ಲ .
i have warned you .|ಮ್ ತಮೆನ್ ಎಚ್ಚರಿಕೆ ದೇರಿಚು.|ಮ ತೋನ್ ಎಚ್ಚರಿಕಿ ದಿನೊಚು.|ನಾನು ನಿಮಗೆ ಎಚ್ಚರಿಕೆ ನೀಡಿದ್ದೇನೆ .
i saw a rose .|ಮ ಗುಲಾಬಿ ಫೂಲೆನ್ ಡಿಟೆಚು.|ಮ ಏಕ್ ರೋಹನ ದಿಟೊ.|ನಾನು ಗುಲಾಬಿಯನ್ನು ನೋಡಿದೆ .
count from one to ten|ಏಕೇತಿ ದಸ್ಸೆ ರ ಲಗಾ ಗಣ|ಏಕ್ ಏಕೇತಿ ದಸ್ಸೇ ಲಗಾ ಮೋಜರೋ.|ಒಂದರಿಂದ ಹತ್ತರವರೆಗೆ ಎಣಿಕೆ ಮಾಡಿ
