lambani_source|kannada_target|kannada_predicted
ತಮ್ ಕಾ೦ಯೀ ಪುಚ್ರೆಚೊ ?|ನೀವು ಏನು ಕೇಳುತ್ತಿದ್ದೀರಿ ?|ನೀವು ಏನು ಕೇಳುತ್ತೀರಿ ?
ರಾಜಾನ ಮ ಕ ಜಕೋಣ ಛೆನಿ .|ಹೊಸ ರಾಜನಿಲ್ಲ .|ರಾಜನಿಗೆ ನಾನು ಜನನಲ್ಲ .
ಚೀನಾ ಏಕ್ ಮೋಟೋ ದೇಶ ಚ .|ಚೀನಾ ದೊಡ್ಡ ದೇಶ .|ಚೀನಾ ಒಂದು ದೊಡ್ಡ ದೇಶ .
ತೋನ ವು ಛೋರಿ ಮಾಲಮ ಚ ಕ ?|ನಿನಗೆ ಅವಳು ಗೊತ್ತಾ ?|ನಿನಗೆ ಆ ಹುಡುಗಿ ಗೊತ್ತಾ ?
ಆಹವಾನ್ ಸ್ವೀಕಾರ್ ಕಿದೆಚ್ .|ಆಹ್ವಾನವನ್ನು ಸ್ವೀಕರಿಸಲಾಯಿತು .|ಆಹವಾನ್ ಸ್ವೀಕರಿಸಿದರು .
ತಮಾರ್ ಆರೋಗ್ಯ ಸುಧಾರಣಿ ವಚ .|ನಿಮ್ಮ ಆರೋಗ್ಯ ಸುಧಾರಿಸುತ್ತದೆ .|ನಿಮ್ಮ ಆರೋಗ್ಯ ಸುಧಾರಿಸಲಿದೆ .
ಮನ್ ಯಾತ್ರಾ ಕರೆರ್ ಪಸಂದ್ ಛೆನಿ .|ನನಗೆ ಪ್ರಯಾಣ ಇಷ್ಟವಿಲ್ಲ .|ನಾನು ಪ್ರಯಾಣಿಸಲು ದ್ವೇಷಿಸುತ್ತೇನೆ .
ವು ಏಕ ಕಪಟಿ ಚ .|ಅವನೊಬ್ಬ ಕಪಟಿ .|ಅದೊಂದು ಕಪಟಿ .
ಮ್ ತಯಾರೆಂ ಚು .|ನಾನು ಸಿದ್ಧನಾಗಿರುತ್ತೇನೆ .|ನಾನು ನಿಮ್ಮಲ್ಲಿದ್ದೇನೆ .
ನ್ಯಾಯ ಮುಂಗೋ ಚ .|ನ್ಯಾಯವು ದುಬಾರಿಯಾಗಿದೆ .|ನ್ಯಾಯ ದುಬಾರಿಯಾಗಿದೆ .
ವು ಮೋಟೋ ದಡಿಯಾಚ .|ಅದು ದೊಡ್ಡ ಪರ್ವತ .|ಅವನು ದೊಡ್ಡ ಕರುಣಾಮಯಿ .
ಇ ಏಕ್ ಪ್ರಮುಖ ಸಾಧನೆ ಚ .|ಇದು ಪ್ರಮುಖ ಸಾಧನೆಗಳು .|ಇದೊಂದು ಪ್ರಮುಖ ಸಾಧನೆ .
ಭಗವಾನ್ ಪ್ರಾರ್ಥನೆನ್ ಉತ್ತರಾ ದಚ .|ದೇವರು ಪ್ರಾರ್ಥನೆಗಳಿಗೆ ಉತ್ತರಿಸುತ್ತಾನೆ .|ದೇವರು ಪ್ರಾರ್ಥನೆಗೆ ಉತ್ತರಿಸುತ್ತಾನೆ .
ಆವಾಜ ಸರಿ ಛೆನೀ .|ಧ್ವನಿ ಕರ್ಕಶವಾಗಿದೆ .|ಸದ್ದು ಸರಿ ಇಲ್ಲ .
ಪೊಲೀಸೆನ ಬಲಾವೋ .|ಪೋಲೀಸರನ್ನು ಕರೆ !|ಪೊಲೀಸರಿಗೆ ಕರೆ ಮಾಡಿ .
ವು ಸೆಮಾಯಿ ಠೀಕ ಚ .|ಅವನು ಎಲ್ಲದರಲ್ಲೂ ಒಳ್ಳೆಯವನು .|ಅವನು ಯಾವುದರಲ್ಲೂ ಚೆನ್ನಾಗಿದ್ದಾನೆ .
ಶೀನಾ ವೊತಿ ನಾಣಕಿ ಚ .|ಶೀನಾ ಅವಳಿಗಿಂತ ಚಿಕ್ಕವಳು .|ಶೀನಾ ಅವನಿಗಿಂತ ಚಿಕ್ಕದಾಗಿದೆ .
ಮಾರ ಭೇನ ಭಳೆನ ಆರಿಚ .|ನನ್ನ ಸಹೋದರಿ ಭೇಟಿಯಾಗಲು ಬರುತ್ತಾಳೆ .|ನನ್ನ ತಂಗಿ ಭೇಟಿಯಾಗಲು ಬರುತ್ತಾಳೆ .
ವು ವೊರ್ ಕಾರ್ ಲೇರಿಚ ?|ಅವಳು ತನ್ನ ಕಾರನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತಾಳೇ ?|ಅವಳು ಅವನ ಕಾರನ್ನು ಖರೀದಿಸುತ್ತಿದ್ದಳು ?
ವು ಖತರ್ನಾಕ್ ಜಾಗಾ ಚ .|ಅದೊಂದು ಭಯಾನಕ ಸ್ಥಳ .|ಇದು ಅಪಾಯಕಾರಿ ಪ್ರದೇಶವಾಗಿದೆ .
ಈ ಭಾರೇತಿ ಹಯಿ ದಿಕಾವಚ .|ಇದು ಹೊರಗಿನಿಂದ ಹೇಗೆ ಕಾಣುತ್ತದೆ .|ಇದು ಹೊರಗಿನಿಂದ ಕಾಣುತ್ತದೆ .
ಮನ್ ತಾತಿ ಧೇರ್ ವೇಗಿಚ .|ನಾನು ನಿನ್ನಿಂದ ಬೇಸತ್ತಿದ್ದೇನೆ .|ನಿನ್ನಿಂದ ನನಗೆ ಬೇಸರವಾಗಿದೆ .
ಓನ್ ಪ್ರದ್ನೇ ವೇತ್ತಿ .|ಆಕೆ ಪ್ರಜ್ಞೆ ಹೊಂದಿದ್ದಳು .|ಅವನಿಗೆ ಪ್ರಜ್ಞೆಯೇ ಇತ್ತು .
ಹಾತ್ ಧೊಯೆರ್ ಜರೂರಿ ಚ .|ಕೈ ತೊಳೆಯುವುದು ಅತ್ಯಗತ್ಯ .|ಕೈಗಳನ್ನು ತೊಳೆಯುವುದು ಅವಶ್ಯಕ .
ಸೆ ಮಾಟಿನೊ ಜಲ್ದಿ ಕಾಮೆನ್ ಜಾಣು .|ಎಲ್ಲಾ ಪುರುಷರು ಬೇಗನೆ ಕೆಲಸಕ್ಕೆ ಹೋಗಬೇಕು .|ಎಲ್ಲರೂ ಬೇಗ ಕೆಲಸಕ್ಕೆ ಹೋಗಬೇಕು .
ತು ಘರೇನ್ ಜಾಯೇನ್ ಸ್ವತಂತ್ರ ಚಿ .|ನೀವು ಮನೆಗೆ ಹೋಗಲು ಸ್ವತಂತ್ರರು .|ನೀವು ಮನೆಗೆ ಹೋಗಲು ಸ್ವತಂತ್ರರು .
ಯೆರ ಎಕ್ಕಿ ಸರಳ್ ಪರಿಹಾರ ಛೆನಿ .|ಇದಕ್ಕೆ ಯಾವುದೇ ಸರಳ ಪರಿಹಾರವಿಲ್ಲ .|ಇದಕ್ಕೆ ಸುಲಭ ಪರಿಹಾರವಿಲ್ಲ .
ಲಾರ್ತಿ ಹಮ್ ವುನೆನ್ ಬಚಾಡೆ .|ನಂತರ ನಾವು ಅವರನ್ನು ರಕ್ಷಿಸಿದೆವು .|ನಂತರ ನಾವು ಅವರನ್ನು ಉಳಿಸಿದ್ದೇವೆ .
ವು ಮನ್ ಘಣ ತೊಂದರೆ ದಿನೋ .|ಅದು ನನಗೆ ತುಂಬಾ ತೊಂದರೆ ಕೊಟ್ಟಿತು .|ಅವರು ನನಗೆ ತುಂಬಾ ತೊಂದರೆ ಕೊಟ್ಟರು .
ಏನ್ ಸರ್ಕಾರ್ ಸಮ್ಮತಿ ದಚ .|ಇದಕ್ಕೆ ಸರ್ಕಾರ ಅನುಮತಿ ನೀಡುತ್ತದೆ .|ಇದಕ್ಕೆ ಸರ್ಕಾರ ಗೌರವಿಸುತ್ತದೆ .
ಕಶೆನ್ ಹನು ಕಿದಿ ಕರನ್ ಕ .|ಯಾಕೆ ಹೀಗೆ ಮಾಡಿದೆ ಹೇಳು .|ಯಾಕೆ ಹಾಗೆ ಮಾಡಿದ್ದು !
ರಾಮ್ ಮಾರ್ ಬಾಜು ಹುಬೋಚ .|ರಾಮ್ ನನ್ನ ಪಕ್ಕದಲ್ಲಿ ನಿಂತಿದ್ದಾನೆ .|ರಾಮ್ ನನ್ನ ಪಕ್ಕದಲ್ಲಿ ನಿಂತನು .
ತಮ್ ದೋಇ ಕಾಯಿ ಕರೆಚೊ .|ನೀವಿಬ್ಬರು ಏನು ಮಾಡುತ್ತಿದ್ದೀರಿ ?|ನೀವಿಬ್ಬರೂ ಏನು ಮಾಡುತ್ತಿದ್ದೀರಿ ?
ಘರೇಮಾಯಿ ಗದ್ದಲ ವೇಗಿ .|ಮನೆಯಲ್ಲಿ ಗದ್ದಲ ಉಂಟಾಯಿತು .|ಮನೆಯಲ್ಲಿ ಶಬ್ದ ಆಯಿತು .
ಪಣ ವೊ ಆಂಗ್ ಗೆ ಕೋನಿ .|ಆದರೆ ಅವರು ಮುಂದೆ ಸಾಗಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ .|ಆದರೆ ಅವರು ಮುಂದೆ ಹೋಗಲಿಲ್ಲ .
ಈ ಕಾಮ ದಸೆಕ್ ಸಮಯ ಲಚ .|ಈ ಕೆಲಸ ಸ್ವಲ್ಪ ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ .|ಇದು ಸ್ವಲ್ಪ ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ .
ವು ಖೇತೇಮ್ ಕಾಮ್ ಕರಚ .|ಅವನು ಜಮೀನಿನಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾನೆ .|ಅವಳು ಕೃಷಿ ಕಾರ್ಯಾಚರಣೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ .
ಪೊಲೀಸ್ ಓನ್ ಧುನ್ಡರೆಚ .|ಪೋಲಿಸರು ಆತನಿಗಾಗಿ ಹುಡುಕಾಡುತ್ತಿದ್ದಾರೆ .|ಪೊಲೀಸರು ಅವನನ್ನು ಹುಡುಕುತ್ತಿದ್ದಾರೆ .
ವೋರ ದೂರ್ ವೇ ಜೇರ ದುಃಖ .|ಅಗಲಿಕೆಗಾಗಿ ಅವಳ ತೀವ್ರ ದುಃಖದ ಭಾವನೆ .|ಅವಳ ದೂರ ದುಃಖವಾಯಿತು .
ಮ ರವಿವಾರೇರ ಅರಾಮ್ ಕರುಚು .|ಭಾನುವಾರದಂದು ನಾನು ವಿಶ್ರಾಂತಿ ಪಡೆಯುತ್ತೇನೆ .|ನಾನು ಭಾನುವಾರ ವಿಶ್ರಾಂತಿ ಪಡೆಯುತ್ತೇನೆ .
ವೊ ಕಾಂಯಿ ಕಿದೆ ವಿಚಾರ್ ಕರ್ .|ಅವರು ಏನು ಮಾಡಿದ್ದಾರೆಂದು ಊಹಿಸಿ ?|ಅವರು ಏನು ಯೋಚಿಸಿದರು .
ಕೋರ್ಟ್ ತೀರ್ಪು ದಿನಿ .|ನ್ಯಾಯಾಲಯ ತನ್ನ ತೀರ್ಪು ನೀಡಿದೆ .|ನ್ಯಾಯಾಲಯವು ತೀರ್ಪು ನೀಡಿದೆ .
ಓ ಘಣ ಆಚೆ ಮಾಣಸ ಛ .|ಅವರು ತುಂಬಾ ಒಳ್ಳೆಯ ಮತ್ತು ಭಾವನಾತ್ಮಕ ಜನರು .|ಅವರು ಅನೇಕರು .
ಪೊಲೀಸ್ ಪ್ರಕರಣೇರ ತನಿಖೆ ಕರರೇಚ .|ಪ್ರಕರಣ ಸಂಬಂಧ ಪೊಲೀಸರು ತನಿಖೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ .|ಪೊಲೀಸರು ಪ್ರಕರಣಕ್ಕೆ ತನಿಖೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ .
ತು ವೊನ್ ಜಲ್ದಿ ಸಹಾಯ್ ಕರನು .|ನೀವು ಅವಳಿಗೆ ಸಹಾಯ ಮಾಡಬೇಕು, ಮತ್ತು ಶೀಘ್ರದಲ್ಲೇ !|ನೀವು ಅವನಿಗೆ ಬೇಗ ಸಹಾಯ ಮಾಡಬೇಕು .
ತು ವೊನ್ ದಸೆಕ್ ಸಹಾಯ್ ಕರನು .|ನೀವು ಅವನಿಗೆ ಸ್ವಲ್ಪ ಸಹಾಯವನ್ನು ಮಾತ್ರ ನೀಡಬೇಕು .|ನೀವು ಅವನಿಗೆ ಸ್ವಲ್ಪ ಸಹಾಯ ಮಾಡಬೇಕು .
ಮಾಣಸ ಸೆ ಭರೋಸಾ ಗಮಾಲಿದೊಚ .|ಮನುಷ್ಯನು ಎಲ್ಲಾ ಭರವಸೆಯನ್ನು ಕಳೆದುಕೊಂಡನು .|ಮನುಷ್ಯರೂ ಭರವಸೆಯನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದಾರೆ .
ವಿನತಿ ಛ ರಾಮೆನ್ ಮೇಲದೋ .|ದಯವಿಟ್ಟು ರಾಮನನ್ನು ಕಳುಹಿಸಿಕೊಡಿ .|ದಯವಿಟ್ಟು ರಾಮನನ್ನು ಕಳುಹಿಸಿ .
ಮನ್ ಈ ಹವಾಮಾನ ಪಸಂದ್ ಚ .|ನಾನು ಈ ಹವಾಮಾನವನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ .|ನಾನು ಈ ಹವಾಮಾನವನ್ನು ಇಷ್ಟಪಡುತ್ತೇನೆ .
ಮ ದಾಡ್ಡಿ ಕೇಳಾ ಲುಚು .|ನಾನು ಪ್ರತಿದಿನ ಬಾಳೆಹಣ್ಣು ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ .|ನಾನು ಪ್ರತಿದಿನ ಬಾಳೆಹಣ್ಣುಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ .
ಜನಾಜ್ ಮ ಯೆಮ್ ಛೆನಿ .|ಅದಕ್ಕಾಗಿಯೇ ನಾನು ಅದರ ಮೇಲೆ ಇಲ್ಲ .|ಹಾಗಾಗಿ ನಾನು ಅದರಲ್ಲಿ ಇಲ್ಲ .
ತಾರ್ ಖೋಲಿ ಸಾಫ್ ಚ .|ನಿಮ್ಮ ಕೋಣೆ ಅಚ್ಚುಕಟ್ಟಾಗಿದೆ .|ನಿಮ್ಮ ಕೋಣೆ ಸ್ಪಷ್ಟವಾಗಿದೆ .
ಏ ಅಂಬಾ ಖಾಟ್ ಚ .|ಈ ಮಾವಿನಕಾಯಿಗಳು ಹುಳಿ .|ಇವು ಮಾವಿನ ಹಣ್ಣುಗಳು .
ವೊನ್ ಜಾಯೆದಮತ್ .|ಅವಳನ್ನು ಹೋಗಲು ಬಿಡಬೇಡ .|ಅವನಿಗೆ ಹೋಗಲು ಹೋಗಬೇಡಿ .
ವನುನ್ ಕಾ೦ಯೀ ಚಾವ ಜಕೋಣಿ ದೂಚು .|ಅವರಿಗೆ ಏನು ಬೇಕೋ ಅದನ್ನು ಕೊಡುತ್ತೇನೆ .|ಅವರಿಗೆ ಬೇಕಾದುದನ್ನು ನೀಡುತ್ತೇನೆ .
ಮಾರ್ ಸಮಸ್ಯೆ ತಾರ್ ಸರಿಕ್ ಚ .|ನನ್ನ ತೊಂದರೆಯೂ ನಿನ್ನದೇ .|ನಿಮ್ಮ ಸಮಸ್ಯೆ ಇರುವಂತಿದೆ .
ಕಾ ಕೆನ್ ಹಮೇನ್ ಆಶ್ಚರ್ಯ ಚ .|ಏಕೆ ಎಂದು ನಾವು ಆಶ್ಚರ್ಯ ಪಡುತ್ತೇವೆ .|ಯಾಕೆ ನಮಗೆ ಆಶ್ಚರ್ಯವಾಗಿದೆ ?
ವನೂರ್ ಸಂಗೀತ್ ಘಣ ಠೀಕ್ ಛ .|ಅವರ ಸಂಗೀತ ಗಮನಾರ್ಹವಾಗಿದೆ .|ಅವರ ಸಂಗೀತ ಅದ್ಭುತವಾಗಿದೆ .
ಝಲ್ದಿ ಆಫೀಸ್ ಮಾಯಿ ಕರೋ .|ತಕ್ಷಣ ಕಚೇರಿಗೆ ವರದಿ ಮಾಡಿ .|ತಕ್ಷಣ ಕಚೇರಿಯಲ್ಲಿ ಮಾಡಿ .
ಏನ್ ನಂಬೆನ್ ಸಾಧ್ಯ ಚೇಯಿ .|ಇದನ್ನು ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಇದನ್ನು ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ .
ಈ ಆಜೆರ್ ಸಮಸ್ಯೆ ಚ .|ಇದು ಇಂದಿನ ಸಮಸ್ಯೆಯಾಗಿದೆ .|ಇದು ಇಂದಿನ ಸಮಸ್ಯೆ .
ತು ವೊತಿ ಚಮಕೇಚಿ ಕ ?|ನೀವು ಅವನಿಗೆ ಭಯಪಡುತ್ತೀರಾ ?|ನೀವು ಅವಳಿಗೆ ಹೆದರುತ್ತೀರಾ ?
ಸೆ ಏಕ್ ದಾಡ್ ಮರಚ .|ಎಲ್ಲರೂ ಒಂದು ದಿನ ಸಾಯುತ್ತಾರೆ .|ಪ್ರತಿಯೊಬ್ಬರೂ ಒಂದು ದಿನ ಸಾಯುತ್ತಾರೆ .
ತು ಚಾ ಪಿಯೆಚಿ ಕ ?|ನೀವು ಚಹಾ ಸೇವಿಸುತ್ತೀರಾ ?|ನೀವು ಚಹಾ ಕುಡಿಯುತ್ತೀರಾ ?
ಉ ಕಾ೦ಯಿಭಿ ಕರಚ್ .|ಅವನು ಯಾವುದಕ್ಕೂ ಸಮರ್ಥ .|ಅವನು ಏನು ಬೇಕಾದರೂ ಮಾಡುತ್ತಾಳೆ .
ಈ ಫಳ್ ಕತ್ರಾರೋಚ ?|ಈ ಹಣ್ಣಿನ ಬೆಲೆ ಎಷ್ಟು ?|ಈ ಹಣ್ಣು ಎಷ್ಟು ?
ಈ ಕಾ೦ಯೀ ನರಕಾ ಛ .|ಇದು ಏನು ನರಕ ?|ಇದು ಏನು ಮೃದುವಾಗಿದೆ ?
ಈ ಮಾರ್ ಪಾಳಿ ಛ .|ಇದು ನನ್ನ ಸರದಿಯೇ ?|ಇದು ನನ್ನ ಪಾವಳಿ .
ಮ ತೊನ ಛೋಡುನೀ .|ನಾನು ನಿನ್ನನ್ನು ಬಿಡಲಾರೆ .|ನಾನು ನಿನ್ನನ್ನು ಬಿಡುವುದಿಲ್ಲ .
ಮ ಖರೆ ಜೀತುಚು .|ಖಂಡಿತಾ ಗೆಲ್ಲುತ್ತೇನೆ .|ನಾನು ಖಂಡಿತವಾಗಿಯೂ ಗೆಲ್ಲುತ್ತೇನೆ .
ತಾರಾ ನೋ ದೇಕ .|ನಕ್ಷತ್ರಗಳನ್ನು ನೋಡಿ .|ನಕ್ಷತ್ರಗಳನ್ನು ನೋಡು .
ಸೆ ಡುಬಗೇಚ್ .|ಎಲ್ಲರೂ ಮುಳುಗಿದರು .|ಎಲ್ಲರೂ ಮುಳುಗಿದ್ದಾರೆ .
ಮ ಓನ್ ಜಾಸ್ತಿ ಇಷ್ಟಾ ಕರುನಿ .|ನಾನು ಅವನನ್ನು ಹೆಚ್ಚು ಇಷ್ಟಪಡುವುದಿಲ್ಲ .|ನಾನು ಅವನನ್ನು ಹೆಚ್ಚು ಇಷ್ಟಪಡುವುದಿಲ್ಲ .
ಈ ಸೇರಿ ಸಾರು ಕಾಮೆನ್ ಆಣು .|ಇದು ಎಲ್ಲರಿಗೂ ಕೆಲಸ ಮಾಡಬೇಕು .|ಇದು ಎಲ್ಲರಿಗೂ ಕೆಲಸ ಮಾಡಬೇಕು .
ಮನ್ ವೊನ್ ದೇಕಣು ಅನಸಾರಿಚ .|ನಾನು ಅವನನ್ನು ನೋಡಲು ಬಯಸುತ್ತೇನೆ .|ನಾನು ಅದನ್ನು ನೋಡಬೇಕೆಂದು ಬಯಸುತ್ತೇನೆ .
ಕಾನು ಅಬ್ಬೆ ಕತ್ ಛ ?|ಕಾನು ಈಗ ಎಲ್ಲಿದ್ದಾನೆ ?|ಕಾನು ಈಗ ಎಲ್ಲಿದ್ದಾನೆ ?
ಏನ್ ಭುಲೇನ್ ಸಾಧ್ಯ ಛೆಯೀ .|ಇದನ್ನು ಮರೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಇದನ್ನು ಮರೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ .
ತಮಾರ್ ಕಾಮ್ ಪೂರ್ತಿಕರೋ .|ನಿಮ್ಮ ಕೆಲಸವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಮಾಡಿ .|ನಿಮ್ಮ ಕೆಲಸವನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ .
ವೊನ ವು ಪಸಂದ್ ಆಯಿಕೋನಿ .|ಅವನಿಗೆ ಅದು ಇಷ್ಟವಾಗಲಿಲ್ಲ .|ಅವಳು ಅವನನ್ನು ಇಷ್ಟಪಡಲಿಲ್ಲ .
ಕಾಯಿ ಅಧ್ಯಯನ ಕರೋ ಮತ್ .|ಏನನ್ನೂ ಅಧ್ಯಯನ ಮಾಡಬೇಡಿ .|ಏನು ಅಧ್ಯಯನ ಮಾಡಬೇಡಿ .
ಲೋಕ್ ಸಿನೆಮಾ ದೇಕರೆಚ .|ಜನ ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದಾರೆ .|ಜನರು ಚಲನಚಿತ್ರವನ್ನು ನೋಡುತ್ತಿದ್ದಾರೆ .
ಹಮಾರ್ ಬಗ್ಗೆ ಭುಲಮತ್ .|ನಮ್ಮ ಬಗ್ಗೆ ಮರೆಯಬೇಡಿ !|ನಮ್ಮ ಬಗ್ಗೆ ಮರೆಯಬೇಡಿ .
ಹಮ್ ಅಜಿ ವಾತೇ ಕರಾನಿ .|ನಾವು ಇನ್ನು ಮಾತನಾಡುವುದಿಲ್ಲ .|ನಾವು ಇನ್ನು ಮಾತನಾಡುವುದಿಲ್ಲ .
ಉ ಏಕ್ ಸರಳ್ ಚಿತ್ರ ಛ .|ಅದೊಂದು ಸರಳ ಚಿತ್ರ .|ಅದೊಂದು ಸರಳ ಚಿತ್ರ .
ತಮ್ ಏನ್ ದೇಕೋ ಚೊ ಕ ?|ನೀವು ಅದನ್ನು ನೋಡುತ್ತೀರಾ ?|ನೀವು ಇದನ್ನು ನೋಡಿ !
ಮ ಕಾರ್ ಡ್ರೈವರ್ ಚು .|ನಾನು ಕಾರು ಚಾಲಕ .|ನಾನು ಕಾರು ಚಾಲಕ .
ಉ ಬರಿ ಏಕ್ ಪಾಪು ಛ .|ಅವನು ಕೇವಲ ಒಂದು ಮಗು .|ಅವನು ಕೇವಲ ಮಗು .
ಹಮ್ ಸೆ ವತ್ತ ಗೆಚಾ .|ನಾವೆಲ್ಲರೂ ಅಲ್ಲಿಗೆ ಹೋಗಿದ್ದೇವೆ .|ನಾವೆಲ್ಲರೂ ಅಲ್ಲಿಗೆ ಹೋದೆವು .
ತು ಸಾಲಿನ ಜಾಯೆಚಿ ?|ನೀವು ಶಾಲೆಗೆ ಹೋಗುತ್ತೀರಾ ?|ನೀವು ಶಾಲೆಗೆ ಹೋಗುತ್ತೀರಾ ?
ತಿನೇ ವರ್ಗ ಛೆನೀ .|ಮೂರನೇ ವರ್ಗವಿಲ್ಲ .|ಮೂರನೇ ವರ್ಗವಿಲ್ಲ .
ಅಪಣಸೆ ಏಕ್ ವೇಮಾ .|ನಾವೆಲ್ಲರೂ ಒಂದಾಗೋಣ .|ನಾವೆಲ್ಲರೂ ಅದನ್ನೇ ಹಂಚಿಕೊಳ್ಳೋಣ .
ತಮ್ ಘಣ ಪ್ರಯತ್ನ ಕರ್ರೆಕೊಂತಿ .|ನೀವು ಸಾಕಷ್ಟು ಪ್ರಯತ್ನಿಸುತ್ತಿಲ್ಲ .|ನೀವು ಸಾಕಷ್ಟು ಪ್ರಯತ್ನಿಸುತ್ತಿಲ್ಲ .
ಮಾರ ಗಾಡಿ ಹಾಳ ವೇಗಿಚ .|ನನ್ನ ಗಾಡಿ ಹಾಳಾಗಿದೆ .|ನನ್ನ ಗಾಡಿ ವ್ಯರ್ಥವಾಯಿತು .
ತು ವೊತಿ ಕಾ ಬಚರೊಚಿ ?|ನೀವು ಅವಳನ್ನು ಏಕೆ ತಪ್ಪಿಸುತ್ತಿದ್ದೀರಿ ?|ನೀವು ಅವಳಿಂದ ಏಕೆ ಬದುಕುತ್ತಿದ್ದೀರಿ ?
ಸಂಭ್ರಮ ಖರೆ ವೇಗಿಚ್ .|ಸಂಭ್ರಮ ನಿಜವಾಗಿದೆ .|ಆಚಮ ನಿಜವಾಗಿಯೂ ಆಗಿದೆ .
ಮನ್ ಘಣ ಧೇರ್ ವೇಗಿಚ .|ನನಗೆ ತುಂಬಾ ಆಯಾಸವಾಗಿದೆ .|ನನಗೆ ತುಂಬಾ ಸುಸ್ತಾಗಿದೆ .
ತಮ ಕತ್ ರೆನ ಜಾರೆಚೊ ?|ನೀವು ಎಲ್ಲಿ ವಾಸಿಸಲು ಹೋಗುತ್ತಿದ್ದೀರಿ ?|ನೀವು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದೀರಿ ?
ಮ ವೊರ್ ಘರ್ ರೆರೋಚು .|ನಾನು ಅವರ ಮನೆಯಲ್ಲಿಯೇ ಇದ್ದೇನೆ .|ನಾನು ಅವರ ಮನೆ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ .
ಯೆತ್ ಘಣೋ ತಾತೊ ರಚ .|ಇಲ್ಲಿ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತದೆ .|ಇಲ್ಲಿ ತುಂಬಾ ಬಿಸಿಯಾಗುತ್ತದೆ .
ವು ರಿಸೇತಿ ಮತ್ ಕಿ .|ಅವಳು ಕೋಪದಿಂದ ಬೇಡ ಎಂದಳು .|ಅವಳು ಕೋಪದಿಂದ ಹೇಳಿದಳು .
ಓ ಹಳ್ಳಿನ್ ಗೇಚ್ .|ಅವರು ಹಳ್ಳಿಗೆ ತೆರಳಿದರು .|ಅವರು ಹಳ್ಳಿಗೆ ಹೋದರು .
ಮನ್ ನಿಂದ ಆರಿಚ್ .|ನನಗೆ ನಿದ್ದೆ ಬರುವಂತಿದೆ .|ನನಗೆ ನಿದ್ರೆ ಬರುತ್ತಿದೆ .
ಖರೆಜ ವಾತೇ ಕರ್ .|ಸತ್ಯವನ್ನೇ ಮಾತಾಡು .|ಸತ್ಯವನ್ನೇ ಮಾತನಾಡು .
ರಾಮ ಮರು ಕೆರೋಚ .|ರಾಮ್ ಸಾಯಲು ಬಯಸಿದ .|ರಾಮ್ ಸಾಯಲು ಬಯಸುತ್ತಿದ್ದಾನೆ .
ಹಮೆನ್ ಪಿಯೆನ್ ಪಾಣಿ ವೇತ್ತಿ ಕೋನಿ .|ನಮಗೆ ಕುಡಿಯಲು ನೀರಿರಲಿಲ್ಲ .|ನಮಗೆ ಕುಡಿಯಲು ನೀರು ಇರಲಿಲ್ಲ .
ಮಾರ್ ಕನ್ ಮಾರ್ ಕುತ್ರಾ ವೆತ್ತೋ .|ನನ್ನೊಂದಿಗೆ ನನ್ನ ನಾಯಿ ಇತ್ತು .|ನನ್ನ ಬಳಿ ನಾಯಿ ಇತ್ತು .
ವಾಯಾರ ಜಿಗಲಾ ಸೆತ್ತಿ ಛಂದ್ ರಚ .|ಮದುವೆಯ ಉಡುಗೆ ಅತ್ಯಂತ ಸುಂದರವಾಗಿರುತ್ತದೆ .|ಮದುವೆಯ ಉಡುಪುಗಳು ಅತ್ಯುತ್ತಮವಾಗಿವೆ .
ಪಣ ಉ ಘಣ ಮಿಟೋ ಛ .|ಆದರೆ ಅವನು ತುಂಬಾ ಸಿಹಿ .|ಆದರೆ ಅದು ತುಂಬಾ ಸಿಹಿತಿಂಡಿ .
