kannada_source|lambani_target|lambani_predicted
ಅವನು ಬೇಗ ಏಳುವುದಿಲ್ಲ .|ವು ಪರ್ಬಾತಿ ಜಲ್ದಿ ವೂಟೇನಿ .|ವು ಜಲ್ದಿ ವುಟೇನಿ .
ಅವನು ನಮಗೆ ಬೇಕಾದ ವ್ಯಕ್ತಿ .|ವು ಹಮೇನ್ ಚಾವಜೋಣ ಮಾಣಸ್ ಚ .|ವು ಹಮೆನ್ ಚಾವ ಜೋಣ ಮಾಣಸ್ ಚ .
ಅವರೊಬ್ಬ ಅದ್ಭುತ ಪ್ರತಿಭೆ .|ವು ಏಕ್ ಅದ್ಭುತ ಪ್ರತಿಭೆ ಚ .|ಉ ಏಕ್ ಅದ್ಭುತ ಪ್ರತಿಭೆ ಛ .
ಅದರಲ್ಲಿ ಬಹುಪಾಲು ನಿಜ .|ಓಮಾಯಿ ಜಾಸ್ತಿ ಪಾಲ್ ಖರೆ ಛ .|ವೊಮ ಜಾಸ್ತ್ ವೇಣು ಜು ಖರೆ ಚ .
ಪರೀಕ್ಷೆಗೆ ಚೆನ್ನಾಗಿ ಓದಿದೆ .|ಪರೀಕ್ಷಾ ಸಾರು ಠೀಕ್ ಓದೋ ಚು .|ಪರೀಕ್ಷಾನ್ ಠೀಕ್ ಓದಿಚ .
ಅವರು ಇಂದು ತಡವಾಗಿ ಬಂದಿದ್ದಾರೆ .|ವೂ ಆಜ್ ಘನ್ ತಡಾ ವೆನ್ ಆಯೇಚ .|ಓ ಆಜ್ ತಡಾ ಕರನ್ ಆಮ್ಲೇಚ .
ನಾನು ರಾಜಕೀಯವನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ .|ಮ ರಾಜಕಿಯೇನ್ ಪ್ರೀತಿ ಕರುಚು .|ಮ ರಾಜಕಿಯೇನ್ ಪ್ರೀತಿ ಕರುಚು .
ತನಿಖೆ ನಡೆಯುತ್ತಿದೆ ಎಂದು ಅವರು ಹೇಳಿದರು .|ತನಿಖೆ ಚಾಲ್ರಿಚ ಕರನ್ ಓ ಕೇಚ .|ತನಿಖೆ ಚಾಲರಿಚ್ ಕರನ್ ಓ ಕೆರೆತೆ .
ನಿಮಗೆ ಅದು ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ .|ತಮೆನ್ ಉ ಅರ್ಥಾ ವೆರಿ ಕೊಂತಿ .|ತಮೆನ್ ಉ ಕಳರಿಕೊಂತಿ .
ಅದರ ಮುಖ್ಯ ಲಕ್ಷಣಗಳೇನು ?|ಓರ್ ಮುಖ್ಯ ಲಕ್ಷಣ್ ಕಾ೦ಯೀ ಛ ?|ಓರ್ ಮುಖ್ಯ ಲಕ್ಷಣ್ ಕಾ೦ಯೀ ಛ .
ಮುಂದಿನ ವಾರ ಮಳೆಯಾಗಲಿದೆ .|ಆಂಗೇರ್ ವಾರ್ ಪಾಣಿ ಪಡೆವಾಳೋಚ .|ಆಂಗೆರ್ ವಾರ್ ಪಾಣಿ ಪಡಚ್ .
ಅವರು ಇದನ್ನು ವಿರೋಧಿಸಿದ್ದಾರೆ .|ಓ ಏನ್ ವಿರೋಧ ಕಿದೆ ಛ .|ಓ ಏನ್ ವಿರೋಧ ಕಿದೆಚ್ .
ಅವು ಬಿಳಿ ಬಣ್ಣದ ಉಡುಗೆ .|ವೊ ಧೋಳ್ ರಂಗೇರ್ ಜಿಗಲಾ ಚ .|ವೊ ಧೋಳ್ ರಂಗೇರ್ ಜಿಗಲಾ ಚ .
ಅವರು ಇನ್ನೂ ಓದಲು ಸಾಧ್ಯವಿಲ್ಲ .|ವುನುನ ಅಜಿ ವೊದೇನ ಆಯೆನಿ .|ವನುನ್ ಅಜಿ ಓದೆನ ಸಾಧ್ಯ ಛೆನೀ .
ನೀವು ಬದಲಾವಣೆಗಳನ್ನು ತರಬಹುದು .|ತಮ್ ಬದ್ಲಾವಣೆ ಲಾ ಸಕೋಚೊ .|ತಮ್ ಬದಲಾವಣೆ ಲಾವೊಚೊ .
ಇದು ನನ್ನ ಸ್ವಂತ ಅನುಭವದಿಂದ .|ಈ ಮಾರ್ ಸ್ವಂತ್ ಅನುಭವ ಛ .|ಈ ಮಾರ್ ಸ್ವಂತ್ ಅನುಭವ ಛ .
ಸಂತೋಷದಿಂದ ಬದುಕಲು ಮುಂದುವರಿಯಿರಿ .|ಖುಷಿತಿ ರೇನ್ ಆಂಗ್ ಬಡೋ .|ಖುಶೀತಿ ಬಚೆಸಾರು ಆಂಗ್ ಜಾವೋ .
ನೀವು ನನಗಿಂತ ಕೆಟ್ಟವರು .|ತಮ್ ಮಾತಿ ಭೀ ಮಾಂದೆ ಛೋ .|ತಮ್ ಮಾತಿ ಮಾಂದೊ ಛೋ .
ಕೆಲವು ಪಕ್ಷಗಳು ನಡೆಯುತ್ತಿವೆ .|ದಸೆಕ್ ಪರ್ಟಿನೋ ಚಾಲರಿಚ .|ದಸೆಕ್ ಪಕ್ಷಿನೋ ಚಾಲರಿಚ .
ಸೀಮಾ ಅವರಿಗೆ ಏನು ಹೇಳಿದರು ?|ಸೀಮಾ ವುನುನ ಕಾಂಯಿ ಕಿ ?|ಸೀಮಾ ವನುನ್ ಕಾ೦ಯೀ ಕೇಚ ?
ನೀವು ಹಳ್ಳಿಗೆ ಹೋಗುತ್ತೀರಾ ?|ತಮ್ ಹಳ್ಳಿನ ಜಾವೊಚೊ ಕ ?|ತಮ್ ಹಳ್ಳಿನ ಜಾವೊಚೊ ಕ ?
ಮೊದಲ ಮಾತುಕತೆ ನಡೆಸಲಾಯಿತು .|ಮೊದಲ ವಾತ್ ಚಿತ್ ಕಿದೆ .|ಮದಲೇರ್ ವಾತೇ ಚಿತ್ ಕಿದೆ .
ನೀವು ಕ್ಷೇಮವಾಗಿದ್ದೀರಾ ?|ತಮ್ ಆರಾಮೇತಿ ಛೋ ಕೋನಿ ?|ತು ಖೇತೇಮ್ ಚಿ ಕ ?
ಆದರೆ ಹಣ ಸಾಕಾಗಲಿಲ್ಲ .|ಪಣ ಪೀಸಾ ಪುರಾಟಿ ಕೋನಿ .|ಪಣ ಪೀಸಾ ಪುರಾಟಿಕೋನಿ .
ಅಲೋಮ್ ಅವನಿಗಿಂತ ಉತ್ತಮ .|ಅಲೋಮ್ ಓತಿ ಬಿ ಠೀಕ್ ಛ .|ಅಲೋಮ್ ಓತಿಭಿ ಆಚೊ ಛ .
ಈ ನದಿಯ ಹೆಸರೇನು ?|ಈ ನದಿರ್ ನಾಮ್ ಕಾ೦ಯೀ ?|ಈ ನಂದಿರ ನಾಮ್ ಕಾಂಯಿ ಚ ?
ಸ್ಯಾಮ್ ನನಗೆ ಹೆದರುತ್ತಾನೆ .|ಸ್ಯಾಮ್ ಮಾತಿ ಚಮ್ ಕಚ .|ಸ್ಯಾಮ್ ಮನ್ ಚಮ್ಕಾವಚ .
ಅಲೋಮ್ ಆ ಕೆಲಸವನ್ನು ಬಿಟ್ಟರು .|ಅಲೋಮ್ ಉ ಕಾಮ್ ಛೋಡ್ ನಾಕೋ ಛ .|ಅಲೋಮ್ ಉ ಕಾಮ್ ಛೋಡ್ನಾಕೋ .
ನೀವು ಎಷ್ಟು ಕಾಯುತ್ತಿದ್ದಿರಿ ?|ತಮ್ ಕತ್ರ ವೆಳಾರ್ ವಾಟ್ ದೇಕರೆಚೊ .|ತು ಕತ್ರಾ ವಾಟ್ ದೇಕರೊಚಿ ?
ಅವರೊಬ್ಬ ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ .|ವು ಏಕ್ ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ ಚ .|ವು ಏಕ್ ಆಚೊ ಮಾಸ್ತರ್ ಚ .
ಅವರು ವಿಷಾದ ವ್ಯಕ್ತಪಡಿಸಿದ್ದಾರೆ .|ಓ ವಿಷಾದ ವ್ಯಕ್ತ ಪಡ್ ಸಾಯೇಚ .|ಓ ವಿಷಾದ್ ಕಿದೆಚ .
ಅವರು ಇನ್ನೂ ನೆಲೆಸಿಲ್ಲ .|ವೊ ಅಬೆ ಲಗು ಸೆಟಲ್ ವೇಕೊಂತಿ .|ವೊ ಅಜಿ ಜಮಿ ಛೆನಿ .
ಕೊನೆಗೂ ರೈಲು ಬಂದಿದೆ .|ಕಡಿಕ್ ಭೀ ರೈಲ್ ಡಿಗಯಾಯಿಚ್ .|ಕಡಿಕ್ ಭೀ ರೈಲ್ವೆ ಆಯಿಚ .
ನೀನು ಮೊದಲು ಆಸ್ಪತ್ರೆಗೆ ಹೋಗು .|ತು ಮದ್ಲೇ ದವಾಖನಿನ್ ಜೋ .|ತು ಮೊದಲೇ ದವಾಖಾನಿನ ಜೋ .
ಭೂಮಿಯು ಸುಂದರವಾದ ಗ್ರಹವಾಗಿದೆ .|ಜಮಿ ಮಾತಾ ಏಕ ಸುಂದರ ಗ್ರಹ ಚ .|ಜಮಿ ಛಂದ ಗ್ರಹಿಕೆ ಕರಚ .
ಆಗಾಗ್ಗೆ ನೀರು ಸಿಂಪಡಿಸಿ .|ಫರ್ ಫರನ್ ಪಾಣಿ ಚಣಕೋ .|ಕನ್ನಾ ವನಾ ಪಾಣಿ ಪಡೊ .
ಅವನು ಹುಚ್ಚನಾಗಿರಬೇಕು .|ಉ ವೆಂಡೋ ಛ ಕಾ೦ಯಿಕೋ .|ವು ವೆಂಡೋ ರೇಣು .
ಘಟನೆ ನಡೆದಾಗ ಪೊಲೀಸರು ಇರಲಿಲ್ಲ .|ಘಟನೆ ಚಾಲಿಜನಾ ಪೊಲೀಸ್ ವೆತ್ತೆಕೋನಿ .|ಘಟನೆ ಚಾಲಿ ಜನಾ ಪೊಲೀಸ್ ವೆತ್ತೋಕೋನಿ .
ಅವರಿಗೆ ಯಾವುದೇ ಕಾನೂನು ಬಲವಿಲ್ಲ .|ವನುನ್ ಕುಣಶಿ ಕಾನೂನೇರ್ ಬಲ ಛೆನೀ .|ವನುನ್ ಕುಣಶಿ ಕಾನೂನು ಬಲತ್ ಛೆನೀ .
ಮನೆಗಳಿಗೂ ಹಾನಿಯಾಗಿದೆ .|ಘರೇ ವನುನ್ ಭೀ ನೂಕ್ಸಾನ್ ವೇಗಿಚ .|ಘರೆ ವನುನ್ ಭೀ ಹಾನಿ ವೇಗಿಚ .
ಇದೇ ರೀತಿಯ ಪ್ರಕರಣವೇ ?|ಈಜ್ ರಿತಿರ್ ಪ್ರಕರಣ ಛ ಕಾ೦ಯೀ .|ಈಜ್ ರಿತಿರ್ ಪ್ರಕರಣ ಛ ಕಾ೦ಯೀ ?
ಪೊಲೀಸರು ಆರೋಪಿಯನ್ನು ಬಂಧಿಸಿದ್ದಾರೆ .|ಪೊಲೀಸ್ ಆರೋಪಿನ್ ಪಕಡ್ ಲಿದೆಛ .|ಪೊಲೀಸ್ ಆರೋಪಿನ್ ಪಕಡ್ ಲಿದೆಚ .
ದಯವಿಟ್ಟು ಹೆಚ್ಚು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ .|ಕೃಪಯಾ ಅಜಿ ಸಾವಕಾಶ್ ವಾತೆ ಕರೋ .|ಕೃಪಯಾ ಜಾಸ್ತ್ ಸಾವಕಾಶ್ ವಾತೆ ಕರೋ .
ಎಲ್ಲೆಲ್ಲೂ ನೀರಿತ್ತು .|ಕತ್ ದೇಕ ಜತ್ ಪಾಣಿ ವೆತ್ತೋ .|ಸೆವಡಿ ಪಾಣಿ ವೇತ್ತಿ .
ಅವರ ಆಶೀರ್ವಾದ ಕೋರಿದರು .|ವೂನೂರ ಆಶೀರ್ವಾದ ಮಾಂಗೋ .|ವನೂರ್ ಆಶೀರ್ವಾದ ದಿನೇಚ .
ಅವಳು ಮಕ್ಕಳನ್ನು ನೋಡಿಕೊಂಡಳು .|ವು ಬೇಟಿಬೆಟಾನುನ್ ದಿಟಿ .|ವು ಏಕ ಬೇಟಿಬೆಟಾ ದಿಟಿ .
ಗೋಡೆಗಳಿಗೆ ಕಿವಿಗಳಿವೆ .|ಗೋಡಿನೂರ್ ಬಿ ಕಾನ್ ರಚ್ .|ಭಿತೆವನುನ್ ಕಾನ್ ಛ .
ಅವನು ತನ್ನ ಕೆಲಸವನ್ನು ಕಳೆದುಕೊಳ್ಳಬಹುದು .|ವು ವೊರ್ ನೊಕರಿ ಗಮಾಸಕಚ .|ಉ ಓರ್ ಕಾಮ್ ಗಮಾಲಚ್ .
ನಿಮ್ಮ ತೋಟವನ್ನು ನಾನು ನೋಡುತ್ತೇನೆ .|ಮನ್ ತಾರ್ ಬಗೀಚಾ ದಕಾಳ್ .|ಮ ತಾರ್ ಗಾರ್ಡನ್ ದೆಕುಚು .
ನಮ್ಮ ಬೆಳೆಗಳಿಗೆ ನೀರು ಬೇಕು .|ಆಪಣ ಫಸಲೆನ ಪಾಣಿ ಚಾವಚ .|ಅಪಣ ಫಸಲೆನ ಪಾಣಿ ಚಾವ .
ರಾಮ್ ಇವತ್ತು ಉಳಿಯಲಿ .|ರಾಮ್ ಆಜ್ ಏತಜ್ ರೆದ್ .|ರಾಮ ಆಜಜ್ ರೆದ್ .
ಪಂದ್ಯವನ್ನು ಯಾರು ಗೆಲ್ಲುತ್ತಾರೆ ?|ಆಟಾ ಮೈ ಕುಣ ಗೆದ್ದ ಛ ?|ಮ್ಯಾಚ್ ಕುಣ ಜೀತಚ ?
ಅವರು ದಣಿದಿಲ್ಲವೇ ?|ವೊ ಹೈರಾಣ ವೇಕೊಂತಿ ಕ ?|ಓ ಸುಸ್ತ್ ಹುಯಿಕೊಂತಿ ಕಾ೦ಯೀ ?
ಇದರ ಬಗ್ಗೆ ನಿಮ್ಮ ಯೋಜನೆ ಏನು ?|ಏರ್ ಬಗ್ಗೆ ತಮಾರ್ ಯೋಚನೆ ಕಾಂಯಿ ಚ ?|ಏರ್ ಬಗ್ಗೆ ತಮಾರ್ ಯೋಜನೆ ಕಾ೦ಯೀ ಛ ?
ಅದರ ವಿರುದ್ಧ ಯಾವುದೇ ಕಾನೂನು ಇಲ್ಲ .|ಓರ್ ವಿರುದ್ಧ ಕುಣಶಿ ಕಾನೂನು ಛೆನಿ .|ವೊರ್ ವಿರುದ್ಧ ಕಾಂಯಿ ಕಾನೂನೇರ ಛೆನಿ .
ಅವರು ಅದರ ಬಗ್ಗೆ ಚಿಂತಿಸುವುದಿಲ್ಲ .|ವೊ ವೊರ್ ಬಗ್ಗೆ ಚಿಂತ್ಯಾ ಕರೆನಿ .|ವೊ ವೊರ್ ಬಗ್ಗೆ ಚಿಂತ್ಯಾ ಕರೆನಿ .
ಹುಡುಗ ಮನೆಗೆ ಹೋಗಲು ಬಯಸುತ್ತಾನೆ .|ಛೋರಾ ಘರೇನ್ ಜಾಯೆನ್ ಇಷ್ಟಾಕರಚ್ .|ಛೋರಾ ಘರೇನ್ ಜಾಯೇನ್ ಚಾವರೋಚ .
ಇಲ್ಲಿ ಭಾರೀ ಮಳೆಯಾಗುತ್ತದೆ .|ಅತ್ ಜೋರ್ ಪಾಣಿ ಪಡಚ .|ಅತ್ ಪಾಣಿ ಘಣೊ ಜೋರ್ ಪಡಚ .
ನೀವು ಅವನಿಗೆ ಭಯಪಡುತ್ತೀರಾ ?|ತು ವೊತಿ ಚಮಕೇಚಿ ಕ ?|ತು ವೊತಿ ಚಮಕೊಚಿ ಕ ?
ಎಲ್ಲರೂ ಒಂದು ದಿನ ಸಾಯುತ್ತಾರೆ .|ಸೆ ಏಕ್ ದಾಡ್ ಮರಚ .|ಸೆ ಏಕ್ ದಾಡ್ ಮರಚ .
ನೀವು ಚಹಾ ಸೇವಿಸುತ್ತೀರಾ ?|ತು ಚಾ ಪಿಯೆಚಿ ಕ ?|ತಮ್ ಚಾ ಪಿರೆಚೊ ಕಾ೦ಯೀ ?
ಅವನು ಯಾವುದಕ್ಕೂ ಸಮರ್ಥ .|ಉ ಕಾ೦ಯಿಭಿ ಕರಚ್ .|ವು ಸೇನಿಬಿ ಅರ್ಥಾ ಚ .
ಈ ಹಣ್ಣಿನ ಬೆಲೆ ಎಷ್ಟು ?|ಈ ಫಳ್ ಕತ್ರಾರೋಚ ?|ಏ ಫಳೆರ್ ಪೀಸಾ ಕತ್ರಾ ?
ಇದು ಏನು ನರಕ ?|ಈ ಕಾ೦ಯೀ ನರಕಾ ಛ .|ಈ ಕಾ೦ಯೀ ನಕ ಛ ?
ಇದು ನನ್ನ ಸರದಿಯೇ ?|ಈ ಮಾರ್ ಪಾಳಿ ಛ .|ಈ ಮಾರ್ ಸಾಮಾನ್ ಛ ಕ ?
ನಾನು ನಿನ್ನನ್ನು ಬಿಡಲಾರೆ .|ಮ ತೊನ ಛೋಡುನೀ .|ಮ ತೋನ್ ಛೋಡುನಿ .
ಖಂಡಿತಾ ಗೆಲ್ಲುತ್ತೇನೆ .|ಮ ಖರೆ ಜೀತುಚು .|ಖರೆ ಗೆದ್ದುಚು .
ನಕ್ಷತ್ರಗಳನ್ನು ನೋಡಿ .|ತಾರಾ ನೋ ದೇಕ .|ತಾರಾನುನ್ ದೇಕೋ .
ಎಲ್ಲರೂ ಮುಳುಗಿದರು .|ಸೆ ಡುಬಗೇಚ್ .|ಸೆ ಡುಬಗೆಚ್ .
ನಂತರ ಅವಳು ಮದುವೆಯಾದಳು .|ಲಾರ್ತಿ ವೊರ್ ವಾಯಾ ವೇಗೋ .|ಲಾರ್ತಿ ಉ ವಾಯಾ ಕಿದಿಚ .
ನಮ್ಮದು ಚಿಕ್ಕ ಪಕ್ಷ .|ಹಮಾರ್ ನಾಣಕಿ ಪಕ್ಷ ಛ .|ಹಮಾರ್ ನಾಣಕ್ಯ ಪಕ್ಷ ಚ .
ಮರಗಳನ್ನು ಕತ್ತರಿಸಲಾಗಿತ್ತು .|ಝಾಡೇವನುನ್ ಕಾಟನಾಕೇಚ .|ಝಾಡ ಕಾಟಮಲೆತೆ .
ನಾವು ಹೆಚ್ಚು ಹೊರಗೆ ಹೋಗುವುದಿಲ್ಲ .|ಹಮ್ ಭಾರ ಘಣ ಜಾಮಾನಿ .|ಹಮ್ ಜಾಸ್ತ್ ಭಾರ ಜಾಮಾನಿ .
ನೀವು ಇಂದು ಏನು ಮಾಡಿದ್ದೀರಿ ?|ತು ಆಜ ಕಾಂಯಿ ಕಿದೋ ?|ತಮ್ ಆಜ ಕಾಂಯಿ ಕಿದೆಚೊ ?
ಇನ್ನೊಂದು ದಿನ ಕಳೆಯಿತು .|ಅಜೆಕ್ ದಾಡ ದರಗೀಚ .|ಅಜಿ ಏಕ್ ದಾಡ್ ಮಾಗಿ .
ಅವಕಾಶಗಳು ಯಾವುವು ?|ಅವಕಾಶ ಓ ಕುಣಸ್ ಛ ?|ಅವಕಾಶ ಕುಣಸ್ ಚ ?
ನಾನು ಬಟ್ಟೆ ಬಿಚ್ಚುತ್ತಿದ್ದೇನೆ .|ಮ ಜಿಗಲಾ ಕಾಡರೊಚು .|ಮ ಕಪಡಾ ಬಿಡುಬಿಚು .
ರಾಮ ಸಂತೋಷಕ್ಕಾಗಿ ಓದುತ್ತಾನೆ .|ರಾಮ್ ಖುಶೀತಿ ಓದಚ .|ರಾಮ್ ಖುಶೀತಿ ಸಾರು ಓದಚ .
ನಾನು ಸ್ವಾರ್ಥಿಯಲ್ಲ .|ಮ ಸ್ವಾರ್ಥಿ ಕಾವ .|ಮ ಸ್ವಾರ್ಥಿ ಕಾವ .
ಒಮ್ಮೆ ಮಾತ್ರ ನಾನು ಹೇಳುತ್ತೇನೆ .|ಏಕಜ ವಣಾ ಮಕುಚು .|ಏಕ್ ವಣಾ ಮ ಬರೆ ಕುಚು .
ಅವರು ಸಮಾನರಲ್ಲ .|ವೊ ಸಮಾನ್ ಛೆನಿ .|ವೊ ಸಮಾನ ಕಾವ .
ನನಗೆ ಅದು ತೀರಾ ಬೇಕು .|ಮನ್ ಉ ಘಣ ಚಾಯೆ .|ಮನ್ ವು ಚಾವಚ .
ನೀವು ಮೂರ್ಖರಾಗಿರಬೇಕು .|ತು ಮೂರ್ಖ ವೇಣು .|ತಮ್ ಮೂರ್ಖ ರೇಣು .
ನೀವು ಶಾಂತವಾಗಿ ಉಳಿಯಬೇಕು .|ತು ಶಾಂತ ರೇಣು .|ತಮ್ ಶಾಂತ್ ರೇಣು .
ಆದರೆ ಅವರು ಇಲ್ಲ ಎಂದು ಹೇಳಿದರು .|ಪಣ ವು ಮತ್ ಕೆ .|ಪಣ ಓ ಛೆನೀ ಕರನ್ ಕೆರೆತೆ .
ಪವಾಡಗಳು ಸಂಭವಿಸುತ್ತವೆ .|ಪವಾಡ ವಚ .|ಪವಾಡ ವಚ .
ನಾವು ಚಾಟ್ ಮಾಡೋಣ .|ಚಾಟ್ ಕರಾ .|ಆಪಣ ಚಾಟ್ ಕರಾ .
ಕಾನು ಈಗ ಎಲ್ಲಿದ್ದಾನೆ ?|ಕಾನು ಅಬ್ಬೆ ಕತ್ ಛ ?|ಕಾನು ಅಬ್ಬೆ ಕತ್ ಛ ?
ನಾವು ಇದನ್ನು ಬರೆಯಬೇಕೇ ?|ಹಮ್ ಏನ್ ಲಕ್ಕಣು ಕ ?|ಅಪಣ ಏನ್ ಲಕ್ಕಣು ಕಾ೦ಯೀ ?
ರಾಮ್ ಸಂಗೀತವನ್ನು ಆಲಿಸಿದರು .|ರಾಮ್ ಗಿದೆ ಸಂಬಲೋಚ .|ರಾಮ್ ಸಂಗೀತ್ ಸಾಂಬ್ಲೊ .
ಅದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು .|ವೊನ ಖಚಿತ ಕರಲೇಣು .|ವೊನ ಖಚಿತ ಕರನು .
ಅದು ದೊಡ್ಡ ಪರ್ವತ .|ವು ಮೋಟೋ ದಡಿಯಾಚ .|ವು ಏಕ್ ಮೋಟೋ ಗುಡ್ದಾತ ಚ .
ನ್ಯಾಯವು ದುಬಾರಿಯಾಗಿದೆ .|ನ್ಯಾಯ ಮುಂಗೋ ಚ .|ನ್ಯಾಯಾಲಯ ಘಣ ಮೂಂಗ್ ವೇಮಲಿಚ್ .
ನಾನು ಸಿದ್ಧನಾಗಿರುತ್ತೇನೆ .|ಮ್ ತಯಾರೆಂ ಚು .|ಮ ತೈಯಾರ್ ಚು .
ಅವನೊಬ್ಬ ಕಪಟಿ .|ವು ಏಕ ಕಪಟಿ ಚ .|ಉ ಏಕ್ ಕಪಟಿ ಛ .
ನಮಗೆ ಕುಡಿಯಲು ನೀರಿರಲಿಲ್ಲ .|ಹಮೆನ್ ಪಿಯೆನ್ ಪಾಣಿ ವೇತ್ತಿ ಕೋನಿ .|ಹಮೆನ್ ಪಿಯೆನ್ ಪಾಣಿ ವೇತ್ತಿ ಕೋನಿ .
ನನ್ನೊಂದಿಗೆ ನನ್ನ ನಾಯಿ ಇತ್ತು .|ಮಾರ್ ಕನ್ ಮಾರ್ ಕುತ್ರಾ ವೆತ್ತೋ .|ಮಾರ್ ಜೋಡಿ ಮಾರ್ ಕುತ್ರ ವೆತ್ತೋ .
ಮದುವೆಯ ಉಡುಗೆ ಅತ್ಯಂತ ಸುಂದರವಾಗಿರುತ್ತದೆ .|ವಾಯಾರ ಜಿಗಲಾ ಸೆತ್ತಿ ಛಂದ್ ರಚ .|ವಾಯರ್ ಡ್ರೆಸ್ ಘಣ ಛಂದ್ ರಚ .
ನೀವು ಸಾಕಷ್ಟು ಪ್ರಯತ್ನಿಸುತ್ತಿಲ್ಲ .|ತಮ್ ಘಣ ಪ್ರಯತ್ನ ಕರ್ರೆಕೊಂತಿ .|ತಮ್ ಘಣ್ ಕೊಶಿಸ್ ಕರರೆಕೊಂತಿ .
ಅವರು ನಮ್ಮನ್ನು ಟೀಕಿಸುತ್ತಾರೆ .|ವೊ ಹಮಾರ್ ಬಗ್ಗೆ ವಿಚಾರ್ ಕರಚ .|ವೊ ಹಮೆನ್ ಆಲೋಚನೆ ಕರಚ .
ಮುಂದಿನ ಮುಖ್ಯಮಂತ್ರಿ ಯಾರು ?|ಆಂಗೆರ್ ಮುಖ್ಯ ಮಂತ್ರಿ ಕುಣ ಛ ?|ಆಂಗೇರ್ ಮುಖ್ಯಮಂತ್ರಿ ಕುಣ ಚ ?
ದಯವಿಟ್ಟು ಐದು ರೂಪಾಯಿ ಕೊಡಿ .|ಕೃಪಯಾ ಮನ್ ಪಾಂಚ್ ರಪಿಯಾ ದೊ .|ಕೃಪಯಾ ಪಾಂಚ್ ರಪಿಯಾ ದೊ .
ಇದು ಇಂದಿನ ಸಮಸ್ಯೆಯಾಗಿದೆ .|ಈ ಆಜೆರ್ ಸಮಸ್ಯೆ ಚ .|ಈ ಆಜೆರ್ ಸಮಸ್ಯೆ ಚ .
ಊಟ ತುಂಬಾ ರುಚಿಯಾಗಿತ್ತು .|ಊಟ ಘಣ ರುಚಿ ವೇತ್ತಿ .|ಬಾಟಿ ಘಣ್ ರುಚಿ ವೇತ್ತಿ .
ಅವರು ಹೇಳಿದ್ದು ನಿಜವಲ್ಲ .|ಓ ಕೆಜಕೋಣಿ ಖರೆ ಕಾವ .|ವು ಕೆ ಜೋಣ ಖರೆ ಕಾವ .
ಅದೊಂದು ವಿಭಿನ್ನ ಅನುಭವ .|ಉ ಏಕ್ ನಾಳಿ ಅನುಭವ ಛ .|ಉ ಏಕ್ ನಾಳಿ ಅನುಭವ ಛ .
ತುಂಬಾ ಲಗತ್ತಿಸಬೇಡಿ .|ಜಾಸ್ತ್ ಆಸಕ್ತ ವೊಮತ್ .|ಘಣ ಲತ್ತು ಮತ್ .
ನಾನು ಒಬ್ಬಂಟಿಯಾಗಿರಲಿಲ್ಲ .|ಮ ಎಕ್ಲೊ ವೆತ್ತೋ ಕೋನಿ .|ಮ ಎಕ್ಲೊ ಛೆನಿ .
ಬಾಗಿಲು ಕಿರಿದಾಗಿದೆ .|ಬಾಕಲೋ ನಾಣಕ್ಯಾ ವೆರೋಚ .|ಬಾಕಲೋ ನಾನ್ಮಲಿ ಛ .
ಅವನು ಅದನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಕಳೆದುಕೊಂಡಿದ್ದಾನೆ .|ವು ವೊನ ಪೂರಾ ಗಮಾಲಿದೋಚ .|ಉ ಓನ್ ಪೂರ್ತಿ ಗಮಾಲಿದೊಚ .
ನೀವು ದೊಡ್ಡ ಕೆಲಸ ಮಾಡಿದ್ದೀರಿ .|ತಮ್ ಮೋಟೋ ಕಾಮ್ ಕಿದೆ ಚೊ .|ತು ಏಕ್ ಮೋಟ್ ಕಾಮ್ ಕಿದೋಚಿ .
ಯಾವುದೂ ಅಷ್ಟು ಸರಳವಲ್ಲ .|ಕುಣಶಿಭಿ ಅತರಾ ಸರಳ್ ಕಾವ .|ಕುಣಶಿ ಅತರ ಸರಳ್ ಛೆನೀ .
ನಾನು ಅವಳಿಗೆ ಆರ್ಥಿಕ ಸಹಾಯ ಮಾಡಿದೆ .|ಮ ವೊನ ಆರ್ಥಿಕ ಸಹಾಯ ಕಿದೋ .|ಮ ಓನ್ ಆರ್ಥಿಕ್ ಮದತ್ ಕಿದಿಚು .
ಬರುತ್ತೇನೆ ಎಂದು ಉತ್ತರಿಸಿದರು .|ಆವುಚು ಕರನ್ ಉತ್ತರಾ ದಿನೇಚ .|ಮ ಆವುಚು ಕರನ್ ಉತ್ತರಾ ದೂಚು .
ಕರೆ ಮಾಡಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು .|ಫೋನ್ ಲಗಾಡೆ ಜೇತಿ ಧನ್ಯವಾದ್ .|ಫೋನ್ ಕಿದೋ ಜೆರ್ ಸಾರು ಧನ್ಯವಾದ್ .
